task,setting,model,ratio,neg_per_pos,n_pos,n_neg,prevalence,auprc,auprc_over_floor,auroc
task1,transductive,ra,2,2.0,252,504,0.3333333333333333,0.2679224555262675,0.8037673665788024,0.36337081128747795
task1,transductive,ra,5,5.0,100,500,0.16666666666666666,0.14306422458241766,0.858385347494506,0.40444
task1,transductive,ra,10,10.0,50,500,0.09090909090909091,0.06908907792793238,0.7599798572072561,0.31802
task1,transductive,random,orig,0.08819420188613343,5726,505,0.9189536190017654,0.916731060635261,0.9975814248722163,0.49969705667737574
task1,transductive,random,0.5,0.5,1010,505,0.6666666666666666,0.6650295710993142,0.9975443566489712,0.5001195961180276
task1,transductive,random,1,1.0,505,505,0.5,0.47957712978459044,0.9591542595691809,0.4760160768552103
task1,transductive,random,2,2.0,252,504,0.3333333333333333,0.3177359320495181,0.9532077961485543,0.4800327538422776
task1,transductive,random,5,5.0,101,505,0.16666666666666666,0.15707754883120367,0.942465292987222,0.4805607293402608
task1,transductive,random,10,10.0,50,500,0.09090909090909091,0.10967441706685532,1.2064185877354086,0.47576
task1,transductive,rgcn,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8063231138340845,0.8797975035235401,0.1452487853455129
task1,transductive,rgcn,0.5,0.5,1008,504,0.6666666666666666,0.4836957240326972,0.7255435860490459,0.15523037918871252
task1,transductive,rgcn,1,1.0,504,504,0.5,0.33237541178096175,0.6647508235619235,0.1569074389014865
task1,transductive,rgcn,2,2.0,252,504,0.3333333333333333,0.20404894778136207,0.6121468433440862,0.141211577223482
task1,transductive,rgcn,5,5.0,100,500,0.16666666666666666,0.09767367841615585,0.5860420704969351,0.15897999999999998
task1,transductive,rgcn,10,10.0,50,500,0.09090909090909091,0.05166194108721927,0.568281351959412,0.13716
task1,transductive,rotate,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8682707160162906,0.9473899423536999,0.2848802420986475
task1,transductive,rotate,0.5,0.5,1008,504,0.6666666666666666,0.5708208711205169,0.8562313066807754,0.30741370622323005
task1,transductive,rotate,1,1.0,504,504,0.5,0.39092957398419925,0.7818591479683985,0.29737890526581
task1,transductive,rotate,2,2.0,252,504,0.3333333333333333,0.2370071924948206,0.7110215774844618,0.2796831695641219
task1,transductive,rotate,5,5.0,100,500,0.16666666666666666,0.11237572166043985,0.6742543299626391,0.29002000000000006
task1,transductive,rotate,10,10.0,50,500,0.09090909090909091,0.08680156748325608,0.9548172423158169,0.2706
task1,transductive,transe,orig,0.09112276261073947,5531,504,0.9164871582435791,0.876886742746122,0.9567910852418815,0.34936849445979806
